-BEGIN HEADER-,,,,,,,,,,,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,,,
Location: Latitude  20.2432   Longitude 85.8416 ,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 46.78 meters   Site = na ,,,,,,,,,,,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,,,
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) ,,,,,,,,,,,,,,,,
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) ,,,,,,,,,,,,,,,,
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) ,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) ,,,,,,,,,,,,,,,,
WS50M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 50 Meters (m/s) ,,,,,,,,,,,,,,,,
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) ,,,,,,,,,,,,,,,,
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,,,
WS50M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 50 Meters (m/s) ,,,,,,,,,,,,,,,,
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) ,,,,,,,,,,,,,,,,
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,,,,,,
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) ,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,TS,WS50M,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOT,QV2M,T2MDEW,WS50M_MAX,WS50M_MIN
20.24321,85.84161,2016,1,1,4.3,21.91,1.79,22.11,16.24,28.42,61.74,0,10.15,14.25,3.55,0.24
20.24321,85.84161,2016,1,2,4.23,22.33,1.93,22.57,18.45,28.61,64.57,0,10.92,15.45,4.37,0.58
20.24321,85.84161,2016,1,3,4.17,22.55,2.53,22.28,18.15,27.46,67.83,0,11.3,15.92,4.49,1.31
20.24321,85.84161,2016,1,4,4.36,21.8,3.12,21.56,15.45,28.25,56.52,0,9,12.16,5.51,1.42
20.24321,85.84161,2016,1,5,4.15,21.84,1.85,21.95,17,27.52,63.82,0,10.41,14.56,3.38,0.48
20.24321,85.84161,2016,1,6,4.42,21.99,3,21.67,15.44,29,55.63,0,8.91,12,5.08,0.8
20.24321,85.84161,2016,1,7,4.29,21.88,1.79,21.86,16.34,28.34,56.66,0,9.18,12.62,4.4,0.06
20.24321,85.84161,2016,1,8,4.32,22.09,4.01,21.84,16.14,29.09,53.54,0,8.67,11.71,5.14,2.96
20.24321,85.84161,2016,1,9,4.29,22.68,3.84,22.71,17.01,29.91,52.22,0,8.94,12.16,5.31,2.11
20.24321,85.84161,2016,1,10,4.38,22.32,3.89,22.21,16.78,28.96,53.58,0,8.88,12.09,5.97,2.56
20.24321,85.84161,2016,1,11,4.56,21.7,2.26,21.56,15.62,27.81,55.87,0,8.89,12.14,3.87,0.68
20.24321,85.84161,2016,1,12,4.55,21.63,1.81,21.96,16.99,27.97,54.68,0,8.94,12.04,2.97,0.41
20.24321,85.84161,2016,1,13,4.56,21.11,2.64,21.09,14.46,28.08,46.56,0,7.22,8.73,3.87,0.82
20.24321,85.84161,2016,1,14,4.41,21.36,3.26,21.3,14.18,28.92,47.4,0,7.44,9.3,4.72,1.55
20.24321,85.84161,2016,1,15,4.49,22.46,3.55,22.4,17.83,28.63,56.13,0,9.44,13.05,6.06,1.76
20.24321,85.84161,2016,1,16,4.59,23.12,3.6,23.26,17.68,29.63,53.22,0,9.44,12.88,6.31,1.19
20.24321,85.84161,2016,1,17,4.43,23.83,3.37,23.25,18.09,29.76,59.56,0.41,10.56,14.75,5.77,1.21
20.24321,85.84161,2016,1,18,4.42,23.95,3,23.19,18.78,28.66,68.1,1.47,12.05,16.94,6.48,1.04
20.24321,85.84161,2016,1,19,4.23,24.24,5.56,23.7,19.45,29.19,70.88,1.4,12.93,18.07,7.03,3.42
20.24321,85.84161,2016,1,20,3.04,24.65,3.74,23.98,20.25,28.14,73.46,3.93,13.63,18.94,5.86,1.18
20.24321,85.84161,2016,1,21,3.89,20.98,3.59,20.41,17.32,24.08,70.22,25.37,10.44,14.51,5.88,0.42
20.24321,85.84161,2016,1,22,4.81,19.85,3.16,19.39,13.35,25.54,51.76,0,7.2,8.91,6.33,0.18
20.24321,85.84161,2016,1,23,4.96,19.63,3.23,19.18,12.74,25.77,50.13,0,6.88,8.32,5.87,1.42
20.24321,85.84161,2016,1,24,4.94,19.45,2.65,19.26,12.43,26.12,49.34,0,6.8,8.13,4.26,1.07
20.24321,85.84161,2016,1,25,4.98,20.19,2.12,19.96,13.85,26.63,52.01,0,7.5,9.58,4.64,0.39
20.24321,85.84161,2016,1,26,4.71,21.68,3.22,20.94,15.92,27.21,66.62,0,10.23,14.43,6.1,1.3
20.24321,85.84161,2016,1,27,4.46,22.93,4.9,22.35,18.09,27.51,72.92,0,12.24,17.23,6.27,3.32
20.24321,85.84161,2016,1,28,4.55,24.22,3.1,23.99,19.3,30.51,66.02,0,12.25,16.88,4.93,1.1
20.24321,85.84161,2016,1,29,4.8,23.71,3.11,23.03,16.82,29.7,62.61,0,10.93,15.19,4.56,1.63
20.24321,85.84161,2016,1,30,4.95,24.13,2.43,23.85,18.4,30.82,58.8,0,10.79,14.87,5.17,0.09
20.24321,85.84161,2016,1,31,5.05,24.82,3.8,24.73,18.03,32.85,52.38,0,10.14,13.58,5.87,1.54
20.24321,85.84161,2016,2,1,5.02,25.31,2.87,24.62,18.42,31.8,61.75,0.01,11.88,16.33,4.89,0.86
20.24321,85.84161,2016,2,2,4.69,26.05,2.79,25.22,20.78,31.01,68.74,0,13.72,18.95,4.6,0.86
20.24321,85.84161,2016,2,3,4.3,26.34,3.39,25.06,20.86,30.82,69.8,0,13.8,19.08,5.83,1.45
20.24321,85.84161,2016,2,4,4.68,26.01,2.86,24.58,21.27,29.61,68.78,0.04,13.2,18.38,5.96,0.28
20.24321,85.84161,2016,2,5,4.81,25.62,3.18,23.96,19.24,29.85,66.91,0.01,12.37,17.32,5.83,0.97
