-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 03/31/2021 
Location: Latitude  20.2432   Longitude 85.8416 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 37.91 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2021,1,1,3.82
2021,1,2,4.24
2021,1,3,4.26
2021,1,4,4.26
2021,1,5,4.05
2021,1,6,4.52
2021,1,7,3.97
2021,1,8,4.12
2021,1,9,4.17
2021,1,10,3.84
2021,1,11,3.97
2021,1,12,3.67
2021,1,13,2.96
2021,1,14,3.14
2021,1,15,3.33
2021,1,16,3.79
2021,1,17,3.37
2021,1,18,3.3
2021,1,19,3.49
2021,1,20,3.34
2021,1,21,3.51
2021,1,22,4.51
2021,1,23,4.48
2021,1,24,4.31
2021,1,25,3.96
2021,1,26,3.26
2021,1,27,3.23
2021,1,28,4.21
2021,1,29,3.68
2021,1,30,3.46
2021,1,31,4.11
2021,2,1,4.73
2021,2,2,5.15
2021,2,3,4.9
2021,2,4,4.97
2021,2,5,5.26
2021,2,6,5.18
2021,2,7,4.98
2021,2,8,5.11
2021,2,9,5.3
2021,2,10,5.39
2021,2,11,5.43
2021,2,12,5.08
2021,2,13,5.16
2021,2,14,5.12
2021,2,15,5.1
2021,2,16,5.08
2021,2,17,4.59
2021,2,18,4.98
2021,2,19,4.25
2021,2,20,2.68
2021,2,21,5.17
2021,2,22,5.18
2021,2,23,5.53
2021,2,24,5.93
2021,2,25,6.01
2021,2,26,6.13
2021,2,27,6.07
2021,2,28,6.05
2021,3,1,5.12
2021,3,2,5.9
2021,3,3,6.23
2021,3,4,5.99
2021,3,5,6.17
2021,3,6,6.09
2021,3,7,5.82
2021,3,8,5.11
2021,3,9,5.43
2021,3,10,4.86
2021,3,11,4.85
2021,3,12,5.19
2021,3,13,5.19
2021,3,14,5.61
2021,3,15,5.91
2021,3,16,6.49
2021,3,17,6.02
2021,3,18,5.28
2021,3,19,5.11
2021,3,20,4.4
2021,3,21,4.28
2021,3,22,5.13
2021,3,23,4.22
2021,3,24,5.16
2021,3,25,5.39
2021,3,26,4.88
2021,3,27,5.08
2021,3,28,5.11
2021,3,29,5.62
2021,3,30,6.27
2021,3,31,6.51
